******************ready_q****************************
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 2)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 2)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 2)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 2)
******************wait_q****************************
('id : ', 6466, 'cpu :', 0.0, 'io :', 3.0)



******************ready_q****************************
('id : ', 6471, 'cpu :', 8, 'io : ', 4, 'ratio : ', 1)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 2.0)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 2.4)
('id : ', 6469, 'cpu :', 7, 'io : ', 3, 'ratio : ', 2)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 2)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 3)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 3)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 2)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 2)
******************wait_q****************************
('id : ', 6466, 'cpu :', 0.0, 'io :', 2.0)



******************ready_q****************************
('id : ', 6471, 'cpu :', 7.0, 'io : ', 4, 'ratio : ', 2.0)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 2.142857142857143)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 2.6)
('id : ', 6469, 'cpu :', 7, 'io : ', 3, 'ratio : ', 2)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 2)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 3)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 3)
('id : ', 6474, 'cpu :', 6, 'io : ', 4, 'ratio : ', 2)
('id : ', 6475, 'cpu :', 7, 'io : ', 5, 'ratio : ', 2)
******************wait_q****************************
('id : ', 6466, 'cpu :', 0.0, 'io :', 1.0)



******************ready_q****************************
('id : ', 6469, 'cpu :', 7, 'io : ', 3, 'ratio : ', 2)
('id : ', 6471, 'cpu :', 6.0, 'io : ', 4, 'ratio : ', 2.3333333333333335)
('id : ', 6468, 'cpu :', 7.0, 'io : ', 5, 'ratio : ', 2.2857142857142856)
('id : ', 6467, 'cpu :', 5.0, 'io : ', 3, 'ratio : ', 2.8)
('id : ', 6470, 'cpu :', 5, 'io : ', 5, 'ratio : ', 3)
('id : ', 6472, 'cpu :', 4, 'io : ', 3, 'ratio : ', 3)
('id : ', 6473, 'cpu :', 4, 'io : ', 3, 'ratio : ', 3)
