******************ready_q****************************
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 7)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 7)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 7)
('id : ', 7014, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 7)
('id : ', 7015, 'cpu :', 4, 'io : ', 6, 'wait_time : ', 7)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 7)
******************wait_q****************************
('id : ', 7007, 'cpu :', 0.0, 'io :', 4.0)



******************ready_q****************************
('id : ', 7013, 'cpu :', 2.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 8)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 8)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 8)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 8)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 8)
('id : ', 7014, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 8)
('id : ', 7015, 'cpu :', 4, 'io : ', 6, 'wait_time : ', 8)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 8)
******************wait_q****************************
('id : ', 7007, 'cpu :', 0.0, 'io :', 3.0)



******************ready_q****************************
('id : ', 7013, 'cpu :', 1.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 9)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 9)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 9)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 9)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 9)
('id : ', 7014, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 9)
('id : ', 7015, 'cpu :', 4, 'io : ', 6, 'wait_time : ', 9)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 9)
******************wait_q****************************
('id : ', 7007, 'cpu :', 0.0, 'io :', 2.0)



******************ready_q****************************
('id : ', 7014, 'cpu :', 4, 'io : ', 7, 'wait_time : ', 9)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 10)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 10)
('id : ', 7010, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 10)
('id : ', 7011, 'cpu :', 6, 'io : ', 6, 'wait_time : ', 10)
('id : ', 7012, 'cpu :', 8, 'io : ', 7, 'wait_time : ', 10)
('id : ', 7015, 'cpu :', 4, 'io : ', 6, 'wait_time : ', 10)
('id : ', 7016, 'cpu :', 7, 'io : ', 5, 'wait_time : ', 10)
******************wait_q****************************
('id : ', 7007, 'cpu :', 0.0, 'io :', 1.0)
('id : ', 7013, 'cpu :', 0.0, 'io :', 7)



******************ready_q****************************
('id : ', 7014, 'cpu :', 3.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 7008, 'cpu :', 8, 'io : ', 8, 'wait_time : ', 11)
('id : ', 7009, 'cpu :', 5, 'io : ', 4, 'wait_time : ', 11)
