******************ready_q****************************
('id : ', 6921, 'cpu :', 7, 'io : ', 8, 'wait_time :', 22)
('id : ', 6922, 'cpu :', 7, 'io : ', 5, 'wait_time :', 22)
('id : ', 6912, 'cpu :', 10, 'io : ', 8, 'wait_time :', 14)
('id : ', 6915, 'cpu :', 12, 'io : ', 13, 'wait_time :', 8)
('id : ', 6916, 'cpu :', 12, 'io : ', 15, 'wait_time :', 3)
******************wait_q****************************
('id : ', 6917, 'cpu :', 0.0, 'io :', 6.0)



******************ready_q****************************
('id : ', 6913, 'cpu :', 3.0, 'io : ', 6, 'wait_time :', 0)
('id : ', 6914, 'cpu :', 8, 'io : ', 7, 'wait_time :', 23)
('id : ', 6919, 'cpu :', 7, 'io : ', 5, 'wait_time :', 23)
('id : ', 6920, 'cpu :', 7, 'io : ', 4, 'wait_time :', 23)
('id : ', 6921, 'cpu :', 7, 'io : ', 8, 'wait_time :', 23)
('id : ', 6922, 'cpu :', 7, 'io : ', 5, 'wait_time :', 23)
('id : ', 6912, 'cpu :', 10, 'io : ', 8, 'wait_time :', 15)
('id : ', 6915, 'cpu :', 12, 'io : ', 13, 'wait_time :', 9)
('id : ', 6916, 'cpu :', 12, 'io : ', 15, 'wait_time :', 4)
******************wait_q****************************
('id : ', 6917, 'cpu :', 0.0, 'io :', 5.0)



******************ready_q****************************
('id : ', 6913, 'cpu :', 2.0, 'io : ', 6, 'wait_time :', 0)
('id : ', 6914, 'cpu :', 8, 'io : ', 7, 'wait_time :', 24)
('id : ', 6919, 'cpu :', 7, 'io : ', 5, 'wait_time :', 24)
('id : ', 6920, 'cpu :', 7, 'io : ', 4, 'wait_time :', 24)
('id : ', 6921, 'cpu :', 7, 'io : ', 8, 'wait_time :', 24)
('id : ', 6922, 'cpu :', 7, 'io : ', 5, 'wait_time :', 24)
('id : ', 6912, 'cpu :', 10, 'io : ', 8, 'wait_time :', 16)
('id : ', 6915, 'cpu :', 12, 'io : ', 13, 'wait_time :', 10)
('id : ', 6916, 'cpu :', 12, 'io : ', 15, 'wait_time :', 5)
******************wait_q****************************
('id : ', 6917, 'cpu :', 0.0, 'io :', 4.0)



******************ready_q****************************
('id : ', 6913, 'cpu :', 1.0, 'io : ', 6, 'wait_time :', 0)
('id : ', 6914, 'cpu :', 8, 'io : ', 7, 'wait_time :', 25)
('id : ', 6919, 'cpu :', 7, 'io : ', 5, 'wait_time :', 25)
('id : ', 6920, 'cpu :', 7, 'io : ', 4, 'wait_time :', 25)
('id : ', 6921, 'cpu :', 7, 'io : ', 8, 'wait_time :', 25)
('id : ', 6922, 'cpu :', 7, 'io : ', 5, 'wait_time :', 25)
('id : ', 6912, 'cpu :', 10, 'io : ', 8, 'wait_time :', 17)
('id : ', 6915, 'cpu :', 12, 'io : ', 13, 'wait_time :', 11)
('id : ', 6916, 'cpu :', 12, 'io : ', 15, 'wait_time :', 6)
******************wait_q****************************
('id : ', 6917, 'cpu :', 0.0, 'io :', 3.0)



******************ready_q****************************
('id : ', 6919, 'cpu :', 7, 'io : ', 5, 'wait_time :', 25)
('id : ', 6914, 'cpu :', 8, 'io : ', 7, 'wait_time :', 26)
('id : ', 6920, 'cpu :', 7, 'io : ', 4, 'wait_time :', 26)
('id : ', 6921, 'cpu :', 7, 'io : ', 8, 'wait_time :', 26)
('id : ', 6922, 'cpu :', 7, 'io : ', 5, 'wait_time :', 26)
('id : ', 6912, 'cpu :', 10, 'io : ', 8, 'wait_time :', 18)
('id : ', 6915, 'cpu :', 12, 'io : ', 13, 'wait_time :', 12)
('id : ', 6916, 'cpu :', 12, 'io : ', 15, 'wait_time :', 7)
******************wait_q****************************
('id : ', 6917, 'cpu :', 0.0, 'io :', 2.0)
