******************ready_q****************************
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 10)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 10)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 10)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 10)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 10)
******************wait_q****************************
('id : ', 6383, 'cpu :', 0.0, 'io :', 4.0)



******************ready_q****************************
('id : ', 6384, 'cpu :', 5.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 12)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 12)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 12)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 12)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 12)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 12)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 12)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 12)
******************wait_q****************************
('id : ', 6383, 'cpu :', 0.0, 'io :', 3.0)



******************ready_q****************************
('id : ', 6384, 'cpu :', 4.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 14)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 14)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 14)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 14)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 14)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 14)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 14)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 14)
******************wait_q****************************
('id : ', 6383, 'cpu :', 0.0, 'io :', 2.0)



******************ready_q****************************
('id : ', 6384, 'cpu :', 3.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 16)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 16)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 16)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 16)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 16)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 16)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 16)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 16)
******************wait_q****************************
('id : ', 6383, 'cpu :', 0.0, 'io :', 1.0)



******************ready_q****************************
('id : ', 6384, 'cpu :', 2.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 18)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 18)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 18)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 18)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 18)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 18)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 18)
('id : ', 6392, 'cpu :', 6, 'io : ', 5, 'wait_time : ', 18)
('id : ', 6383, 'cpu :', 11, 'io : ', 11, 'wait_time : ', 1)
******************wait_q****************************



******************ready_q****************************
('id : ', 6384, 'cpu :', 1.0, 'io : ', 7, 'wait_time : ', 0)
('id : ', 6385, 'cpu :', 5, 'io : ', 7, 'wait_time : ', 19)
('id : ', 6386, 'cpu :', 4, 'io : ', 8, 'wait_time : ', 19)
('id : ', 6387, 'cpu :', 7, 'io : ', 6, 'wait_time : ', 19)
('id : ', 6388, 'cpu :', 6, 'io : ', 7, 'wait_time : ', 19)
('id : ', 6389, 'cpu :', 4, 'io : ', 5, 'wait_time : ', 19)
('id : ', 6390, 'cpu :', 5, 'io : ', 5, 'wait_time : ', 19)
('id : ', 6391, 'cpu :', 7, 'io : ', 8, 'wait_time : ', 19)
