child 10064 created, exec 1012, timing 792
child 10065 created, exec 894, timing 244
child 10066 created, exec 995, timing 989
child 10067 created, exec 1185, timing 850
child 10068 created, exec 569, timing 290
child 10069 created, exec 775, timing 495
child 10070 created, exec 1471, timing 975
child 10071 created, exec 828, timing 234
child 10072 created, exec 765, timing 533
child 10073 created, exec 1402, timing 979
total cpu burst time is 9896
RUN _Q(10068) count: 137, tq: 18.
RUN _Q(10068) count: 138, tq: 17.
RUN _Q(10068) count: 139, tq: 16.
RUN _Q(10068) count: 140, tq: 15.
RUN _Q(10068) count: 141, tq: 14.
RUN _Q(10068) count: 142, tq: 13.
RUN _Q(10068) count: 143, tq: 12.
RUN _Q(10068) count: 144, tq: 11.
RUN _Q(10068) count: 145, tq: 10.
RUN _Q(10068) count: 146, tq: 9.
RUN _Q(10068) count: 147, tq: 8.
RUN _Q(10068) count: 148, tq: 7.
RUN _Q(10068) count: 149, tq: 6.
RUN _Q(10068) count: 150, tq: 5.
RUN _Q(10068) count: 151, tq: 4.
RUN _Q(10068) count: 152, tq: 3.
RUN _Q(10068) count: 153, tq: 2.
RUN _Q(10068) count: 154, tq: 1.
RUN _Q(10068) count: 155, tq: 0. go to end
RUN _Q(10069) count: 156, tq: 30.
RUN _Q(10069) count: 157, tq: 29.
RUN _Q(10069) count: 158, tq: 28.
RUN _Q(10069) count: 159, tq: 27.
RUN _Q(10069) count: 160, tq: 26.
RUN _Q(10069) count: 161, tq: 25.
RUN _Q(10069) count: 162, tq: 24.
RUN _Q(10069) count: 163, tq: 23.
RUN _Q(10069) count: 164, tq: 22.
RUN _Q(10069) count: 165, tq: 21.
RUN _Q(10069) count: 166, tq: 20.
RUN _Q(10069) count: 167, tq: 19.
RUN _Q(10069) count: 168, tq: 18.
RUN _Q(10069) count: 169, tq: 17.
RUN _Q(10069) count: 170, tq: 16.
RUN _Q(10069) count: 171, tq: 15.
RUN _Q(10069) count: 172, tq: 14.
RUN _Q(10069) count: 173, tq: 13.
RUN _Q(10069) count: 174, tq: 12.
RUN _Q(10069) count: 175, tq: 11.
RUN _Q(10069) count: 176, tq: 10.
RUN _Q(10069) count: 177, tq: 9.
RUN _Q(10069) count: 178, tq: 8.
RUN _Q(10069) count: 179, tq: 7.
RUN _Q(10069) count: 180, tq: 6.
RUN _Q(10069) count: 181, tq: 5.
RUN _Q(10069) count: 182, tq: 4.
RUN _Q(10069) count: 183, tq: 3.
RUN _Q(10069) count: 184, tq: 2.
RUN _Q(10069) count: 185, tq: 1.
RUN _Q(10069) count: 186, tq: 0. go to end
RUN _Q(10070) count: 187, tq: 30.
RUN _Q(10070) count: 188, tq: 29.
RUN _Q(10070) count: 189, tq: 28.
RUN _Q(10070) count: 190, tq: 27.
RUN _Q(10070) count: 191, tq: 26.
RUN _Q(10070) count: 192, tq: 25.
RUN _Q(10070) count: 193, tq: 24.
RUN _Q(10070) count: 194, tq: 23.
RUN _Q(10070) count: 195, tq: 22.
RUN _Q(10070) count: 196, tq: 21.
RUN _Q(10070) count: 197, tq: 20.
RUN _Q(10070) count: 198, tq: 19.
RUN _Q(10070) count: 199, tq: 18.
RUN _Q(10070) count: 200, tq: 17.
RUN _Q(10070) count: 201, tq: 16.
RUN _Q(10070) count: 202, tq: 15.
RUN _Q(10070) count: 203, tq: 14.
RUN _Q(10070) count: 204, tq: 13.
RUN _Q(10070) count: 205, tq: 12.
RUN _Q(10070) count: 206, tq: 11.
RUN _Q(10070) count: 207, tq: 10.
RUN _Q(10070) count: 208, tq: 9.
RUN _Q(10070) count: 209, tq: 8.
RUN _Q(10070) count: 210, tq: 7.
RUN _Q(10070) count: 211, tq: 6.
RUN _Q(10070) count: 212, tq: 5.
RUN _Q(10070) count: 213, tq: 4.
RUN _Q(10070) count: 214, tq: 3.
RUN _Q(10070) count: 215, tq: 2.
RUN _Q(10070) count: 216, tq: 1.
RUN _Q(10070) count: 217, tq: 0. go to end
RUN _Q(10071) count: 218, tq: 30.
RUN _Q(10071) count: 219, tq: 29.
RUN _Q(10071) count: 220, tq: 28.
RUN _Q(10071) count: 221, tq: 27.
RUN _Q(10071) count: 222, tq: 26.
RUN _Q(10071) count: 223, tq: 25.
RUN _Q(10071) count: 224, tq: 24.
RUN _Q(10071) count: 225, tq: 23.
RUN _Q(10071) count: 226, tq: 22.
RUN _Q(10071) count: 227, tq: 21.
RUN _Q(10071) count: 228, tq: 20.
RUN _Q(10071) count: 229, tq: 19.
RUN _Q(10071) count: 230, tq: 18.
RUN _Q(10071) count: 231, tq: 17.
RUN _Q(10071) count: 232, tq: 16.
RUN _Q(10071) count: 233, tq: 15.
RUN _Q(10071) count: 234, tq: 14.
RUN _Q(10071) count: 235, tq: 13.
RUN _Q(10071) count: 236, tq: 12.
RUN _Q(10071) count: 237, tq: 11.
RUN _Q(10071) count: 238, tq: 10.
RUN _Q(10071) count: 239, tq: 9.
RUN _Q(10071) count: 240, tq: 8.
RUN _Q(10071) count: 241, tq: 7.
RUN _Q(10071) count: 242, tq: 6.
RUN _Q(10071) count: 243, tq: 5.
RUN _Q(10071) count: 244, tq: 4.
RUN _Q(10071) count: 245, tq: 3.
RUN _Q(10071) count: 246, tq: 2.
RUN _Q(10071) count: 247, tq: 1.
RUN _Q(10071) count: 248, tq: 0. go to end
RUN _Q(10072) count: 249, tq: 30.
RUN _Q(10072) count: 250, tq: 29.
RUN _Q(10072) count: 251, tq: 28.
RUN _Q(10072) count: 252, tq: 27.
RUN _Q(10072) count: 253, tq: 26.
RUN _Q(10072) count: 254, tq: 25.
RUN _Q(10072) count: 255, tq: 24.
RUN _Q(10072) count: 256, tq: 23.
RUN _Q(10072) count: 257, tq: 22.
RUN _Q(10072) count: 258, tq: 21.
RUN _Q(10072) count: 259, tq: 20.
RUN _Q(10072) count: 260, tq: 19.
RUN _Q(10072) count: 261, tq: 18.
RUN _Q(10072) count: 262, tq: 17.
RUN _Q(10072) count: 263, tq: 16.
RUN _Q(10072) count: 264, tq: 15.
RUN _Q(10072) count: 265, tq: 14.
RUN _Q(10072) count: 266, tq: 13.
RUN _Q(10072) count: 267, tq: 12.
RUN _Q(10072) count: 268, tq: 11.
RUN _Q(10072) count: 269, tq: 10.
RUN _Q(10072) count: 270, tq: 9.
RUN _Q(10072) count: 271, tq: 8.
RUN _Q(10072) count: 272, tq: 7.
RUN _Q(10072) count: 273, tq: 6.
RUN _Q(10072) count: 274, tq: 5.
RUN _Q(10072) count: 275, tq: 4.
RUN _Q(10072) count: 276, tq: 3.
RUN _Q(10072) count: 277, tq: 2.
RUN _Q(10072) count: 278, tq: 1.
RUN _Q(10072) count: 279, tq: 0. go to end
RUN _Q(10073) count: 280, tq: 30.
RUN _Q(10073) count: 281, tq: 29.
RUN _Q(10073) count: 282, tq: 28.
RUN _Q(10073) count: 283, tq: 27.
RUN _Q(10073) count: 284, tq: 26.
RUN _Q(10073) count: 285, tq: 25.
RUN _Q(10073) count: 286, tq: 24.
RUN _Q(10073) count: 287, tq: 23.
RUN _Q(10073) count: 288, tq: 22.
RUN _Q(10073) count: 289, tq: 21.
RUN _Q(10073) count: 290, tq: 20.
RUN _Q(10073) count: 291, tq: 19.
RUN _Q(10073) count: 292, tq: 18.
RUN _Q(10073) count: 293, tq: 17.
RUN _Q(10073) count: 294, tq: 16.
RUN _Q(10073) count: 295, tq: 15.
RUN _Q(10073) count: 296, tq: 14.
RUN _Q(10073) count: 297, tq: 13.
RUN _Q(10073) count: 298, tq: 12.
RUN _Q(10073) count: 299, tq: 11.
RUN _Q(10073) count: 300, tq: 10.
RUN _Q(10073) count: 301, tq: 9.
RUN _Q(10073) count: 302, tq: 8.
RUN _Q(10073) count: 303, tq: 7.
RUN _Q(10073) count: 304, tq: 6.
RUN _Q(10073) count: 305, tq: 5.
RUN _Q(10073) count: 306, tq: 4.
RUN _Q(10073) count: 307, tq: 3.
RUN _Q(10073) count: 308, tq: 2.
RUN _Q(10073) count: 309, tq: 1.
RUN _Q(10073) count: 310, tq: 0. go to end
RUN _Q(10064) count: 311, tq: 30.
RUN _Q(10064) count: 312, tq: 29.
RUN _Q(10064) count: 313, tq: 28.
RUN _Q(10064) count: 314, tq: 27.
RUN _Q(10064) count: 315, tq: 26.
RUN _Q(10064) count: 316, tq: 25.
RUN _Q(10064) count: 317, tq: 24.
RUN _Q(10064) count: 318, tq: 23.
RUN _Q(10064) count: 319, tq: 22.
RUN _Q(10064) count: 320, tq: 21.
RUN _Q(10064) count: 321, tq: 20.
RUN _Q(10064) count: 322, tq: 19.
RUN _Q(10064) count: 323, tq: 18.
RUN _Q(10064) count: 324, tq: 17.
RUN _Q(10064) count: 325, tq: 16.
RUN _Q(10064) count: 326, tq: 15.
RUN _Q(10064) count: 327, tq: 14.
RUN _Q(10064) count: 328, tq: 13.
RUN _Q(10064) count: 329, tq: 12.
RUN _Q(10064) count: 330, tq: 11.
RUN _Q(10064) count: 331, tq: 10.
RUN _Q(10064) count: 332, tq: 9.
RUN _Q(10064) count: 333, tq: 8.
RUN _Q(10064) count: 334, tq: 7.
RUN _Q(10064) count: 335, tq: 6.
RUN _Q(10064) count: 336, tq: 5.
RUN _Q(10064) count: 337, tq: 4.
RUN _Q(10064) count: 338, tq: 3.
RUN _Q(10064) count: 339, tq: 2.
RUN _Q(10064) count: 340, tq: 1.
RUN _Q(10064) count: 341, tq: 0. go to end
RUN _Q(10065) count: 342, tq: 30.
RUN _Q(10065) count: 343, tq: 29.
RUN _Q(10065) count: 344, tq: 28.
RUN _Q(10065) count: 345, tq: 27.
RUN _Q(10065) count: 346, tq: 26.
RUN _Q(10065) count: 347, tq: 25.
RUN _Q(10065) count: 348, tq: 24.
RUN _Q(10065) count: 349, tq: 23.
RUN _Q(10065) count: 350, tq: 22.
RUN _Q(10065) count: 351, tq: 21.
RUN _Q(10065) count: 352, tq: 20.
RUN _Q(10065) count: 353, tq: 19.
RUN _Q(10065) count: 354, tq: 18.
RUN _Q(10065) count: 355, tq: 17.
RUN _Q(10065) count: 356, tq: 16.
RUN _Q(10065) count: 357, tq: 15.
RUN _Q(10065) count: 358, tq: 14.
RUN _Q(10065) count: 359, tq: 13.
RUN _Q(10065) count: 360, tq: 12.
RUN _Q(10065) count: 361, tq: 11.
RUN _Q(10065) count: 362, tq: 10.
RUN _Q(10065) count: 363, tq: 9.
RUN _Q(10065) count: 364, tq: 8.
RUN _Q(10065) count: 365, tq: 7.
RUN _Q(10065) count: 366, tq: 6.
RUN _Q(10065) count: 367, tq: 5.
RUN _Q(10065) count: 368, tq: 4.
RUN _Q(10065) count: 369, tq: 3.
RUN _Q(10065) count: 370, tq: 2.
RUN _Q(10065) count: 371, tq: 1.
RUN _Q(10065) count: 372, tq: 0. go to end
RUN _Q(10066) count: 373, tq: 30.
RUN _Q(10066) count: 374, tq: 29.
RUN _Q(10066) count: 375, tq: 28.
RUN _Q(10066) count: 376, tq: 27.
RUN _Q(10066) count: 377, tq: 26.
RUN _Q(10066) count: 378, tq: 25.
RUN _Q(10066) count: 379, tq: 24.
RUN _Q(10066) count: 380, tq: 23.
RUN _Q(10066) count: 381, tq: 22.
RUN _Q(10066) count: 382, tq: 21.
RUN _Q(10066) count: 383, tq: 20.
RUN _Q(10066) count: 384, tq: 19.
RUN _Q(10066) count: 385, tq: 18.
RUN _Q(10066) count: 386, tq: 17.
RUN _Q(10066) count: 387, tq: 16.
RUN _Q(10066) count: 388, tq: 15.
RUN _Q(10066) count: 389, tq: 14.
RUN _Q(10066) count: 390, tq: 13.
RUN _Q(10066) count: 391, tq: 12.
RUN _Q(10066) count: 392, tq: 11.
RUN _Q(10066) count: 393, tq: 10.
RUN _Q(10066) count: 394, tq: 9.
RUN _Q(10066) count: 395, tq: 8.
RUN _Q(10066) count: 396, tq: 7.
RUN _Q(10066) count: 397, tq: 6.
RUN _Q(10066) count: 398, tq: 5.
RUN _Q(10066) count: 399, tq: 4.
RUN _Q(10066) count: 400, tq: 3.
RUN _Q(10066) count: 401, tq: 2.
RUN _Q(10066) count: 402, tq: 1.
RUN _Q(10066) count: 403, tq: 0. go to end
RUN _Q(10067) count: 404, tq: 30.
RUN _Q(10067) count: 405, tq: 29.
RUN _Q(10067) count: 406, tq: 28.
RUN _Q(10067) count: 407, tq: 27.
RUN _Q(10067) count: 408, tq: 26.
RUN _Q(10067) count: 409, tq: 25.
RUN _Q(10067) count: 410, tq: 24.
RUN _Q(10067) count: 411, tq: 23.
RUN _Q(10067) count: 412, tq: 22.
RUN _Q(10067) count: 413, tq: 21.
RUN _Q(10067) count: 414, tq: 20.
RUN _Q(10067) count: 415, tq: 19.
RUN _Q(10067) count: 416, tq: 18.
RUN _Q(10067) count: 417, tq: 17.
RUN _Q(10067) count: 418, tq: 16.
RUN _Q(10067) count: 419, tq: 15.
RUN _Q(10067) count: 420, tq: 14.
RUN _Q(10067) count: 421, tq: 13.
RUN _Q(10067) count: 422, tq: 12.
RUN _Q(10067) count: 423, tq: 11.
RUN _Q(10067) count: 424, tq: 10.
RUN _Q(10067) count: 425, tq: 9.
RUN _Q(10067) count: 426, tq: 8.
RUN _Q(10067) count: 427, tq: 7.
RUN _Q(10067) count: 428, tq: 6.
RUN _Q(10067) count: 429, tq: 5.
RUN _Q(10067) count: 430, tq: 4.
RUN _Q(10067) count: 431, tq: 3.
RUN _Q(10067) count: 432, tq: 2.
RUN _Q(10067) count: 433, tq: 1.
RUN _Q(10067) count: 434, tq: 0. go to end
RUN _Q(10068) count: 435, tq: 30.
RUN _Q(10068) count: 436, tq: 29.
RUN _Q(10068) count: 437, tq: 28.
RUN _Q(10068) count: 438, tq: 27.
RUN _Q(10068) count: 439, tq: 26.
RUN _Q(10068) count: 440, tq: 25.
RUN _Q(10068) count: 441, tq: 24.
RUN _Q(10068) count: 442, tq: 23.
RUN _Q(10068) count: 443, tq: 22.
RUN _Q(10068) count: 444, tq: 21.
RUN _Q(10068) count: 445, tq: 20.
RUN _Q(10068) count: 446, tq: 19.
RUN _Q(10068) count: 447, tq: 18.
RUN _Q(10068) count: 448, tq: 17.
RUN _Q(10068) count: 449, tq: 16.
RUN _Q(10068) count: 450, tq: 15.
RUN _Q(10068) count: 451, tq: 14.
RUN _Q(10068) count: 452, tq: 13.
RUN _Q(10068) count: 453, tq: 12.
RUN _Q(10068) count: 454, tq: 11.
RUN _Q(10068) count: 455, tq: 10.
RUN _Q(10068) count: 456, tq: 9.
RUN _Q(10068) count: 457, tq: 8.
RUN _Q(10068) count: 458, tq: 7.
RUN _Q(10068) count: 459, tq: 6.
RUN _Q(10068) count: 460, tq: 5.
RUN _Q(10068) count: 461, tq: 4.
RUN _Q(10068) count: 462, tq: 3.
RUN _Q(10068) count: 463, tq: 2.
RUN _Q(10068) count: 464, tq: 1.
RUN _Q(10068) count: 465, tq: 0. go to end
RUN _Q(10069) count: 466, tq: 30.
RUN _Q(10069) count: 467, tq: 29.
RUN _Q(10069) count: 468, tq: 28.
RUN _Q(10069) count: 469, tq: 27.
RUN _Q(10069) count: 470, tq: 26.
RUN _Q(10069) count: 471, tq: 25.
RUN _Q(10069) count: 472, tq: 24.
RUN _Q(10069) count: 473, tq: 23.
